,Process variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0.259770006,3669,4434.399902,9.318400383,26.625,42.56700134,2697.899902,74.93000031,120.3799973,0.323139995,80.1780014,49.42599869,2626.399902,24.08799934,51.34199905,3094,22.97699928,65.80699921,229.1300049,341.1400146,94.63500214,77.13800049,32.63800049,8.82559967,25.62700081,7.103000164,19.08799934,1.658499956,33.09500122,13.95800018,23.34399986,1.1796,18.71899986,2.310800076,4.902100086,2.34890008,0.015727,0.829280019,0.081377998,54.06100082,43.33499908,62.34000015,53.49700165,25.52400017,60.89699936,21.95299911,38.24200058,36.41199875,49.63999939,46.86899948,40.85599899,18.01199913
124,0.208169997,3592.399902,4455.200195,9.246700287,26.98699951,42.57799911,2695.199951,74.29399872,120.3499985,0.355300009,79.97299957,49.18799973,2623.300049,25.4470005,49.75099945,3091.300049,22.20800018,65.73500061,228.2899933,340.9599915,94.83499908,77.23600006,32.32799911,8.826700211,25.80900002,6.964300156,18.3220005,1.682700038,33.00999832,13.85900021,23.99600029,1.373800039,18.62000084,2.293900013,4.917699814,2.378000021,0.015727,0.829280019,0.081377998,54.06100082,43.33499908,62.51200104,53.65200043,20.11499977,61.80599976,22.10000038,41.89500046,35.70999908,45.95800018,46.94599915,40.85300064,19.85300064
125,0.208389997,3633.600098,4491.5,9.261300087,26.96899986,42.45399857,2695.399902,74.51699829,120.3799973,0.352679998,80.01599884,50.31000137,2624,24.1060009,50.6269989,3091.600098,22.07799911,65.65000153,228.1699982,341.1900024,94.96600342,76.93099976,32.32799911,8.826700211,25.80900002,6.964300156,18.3220005,1.682700038,33.00999832,13.85900021,23.99600029,1.373800039,18.62000084,2.293900013,4.917699814,2.378000021,0.038846999,0.854210019,0.101729997,54.18099976,44.70100021,61.80400085,53.21699905,20.09300041,61.99499893,21.98999977,42.2140007,39.01200104,47.98400116,46.74300003,40.84700012,20.1970005
126,0.232769996,3630.699951,4547.600098,9.368599892,27.01099968,42.08399963,2699.300049,74.6780014,120.3899994,0.345109999,80.13200378,51.80199814,2628.5,24.96899986,49.35900116,3094,23.95000076,65.59700012,229.3600006,341.4400024,94.88600159,77.44100189,32.0909996,9.04679966,26.18099976,6.803299904,18.65800095,1.646499991,32.9640007,13.81400013,23.8239994,1.600000024,18.8029995,2.268699884,4.819499969,2.3118999,0.038846999,0.854210019,0.101729997,54.18099976,44.70100021,62.92699814,54.43700027,22.98600006,62.1969986,22.48600006,40.63499832,43.40200043,45.05099869,46.54700089,41.05400085,15.72799969
127,0.231920004,3634.199951,4541.700195,9.339400291,27.02000046,42.2820015,2701.399902,75.59700012,120.3799973,0.344099998,80.28800201,49.24700165,2630.100098,26.24799919,49.76900101,3097.899902,22.60499954,65.62400055,228.5700073,341.230011,94.68599701,77.48100281,32.0909996,9.04679966,26.18099976,6.803299904,18.65800095,1.646499991,32.9640007,13.81400013,23.8239994,1.600000024,18.8029995,2.268699884,4.819499969,2.3118999,0.038846999,0.854210019,0.101729997,54.18099976,44.70100021,62.86600113,54.50799942,23.06999969,62.83200073,22.16600037,40.75899887,35.88399887,45.9980011,46.52600098,40.29600143,18.90200043
128,0.256799996,3685.399902,4466,9.329999924,27.30400085,42.28499985,2702.5,74.86699677,120.4100037,0.340820014,80.27400208,50.79600143,2630.899902,25.13599968,49.48199844,3101.600098,22.94099998,65.67099762,228.0500031,340.2799988,94.62799835,77.43900299,32.92699814,9.104499817,26.47400093,6.763199806,19.03499985,1.629299998,33.27500153,13.92199993,24.32699966,1.181599975,19.11700058,2.215800047,4.916600227,2.34890008,0.038846999,0.854210019,0.101729997,54.18099976,44.70100021,63.39599991,54.63800049,25.07600021,61.81200027,21.9090004,39.96500015,40.44200134,45.33499908,46.47900009,42.27399826,18.10700035
129,0.255629987,3678.300049,4584,9.385899544,27.09000015,42.54100037,2703.5,74.4940033,120.4000015,0.340730011,80.26999664,49.76599884,2632,24.05699921,50.32699966,3102.5,23.37599945,65.68000031,228.3899994,340.4599915,94.4469986,77.6309967,32.92699814,9.104499817,26.47400093,6.763199806,19.03499985,1.629299998,33.27500153,13.92199993,24.32699966,1.181599975,19.11700058,2.215800047,4.916600227,2.34890008,0.038846999,0.854210019,0.101729997,54.18099976,44.70100021,63.51900101,53.22600174,25.19099998,61.97100067,21.99500084,39.97700119,37.4109993,47.29000092,46.35499954,40.78300095,17.05400085
130,0.171570003,3688.800049,4506.600098,9.321800232,27.17700005,42.45500183,2703.5,74.47899628,120.4199982,0.349559993,80.44999695,49.10699844,2633,25.41399956,48.26200104,3101,22.86499977,65.70899963,226.8000031,341.1700134,94.55200195,77.67099762,32.01100159,9.018300056,26.37199974,6.850200176,18.91600037,1.678900003,32.71900177,13.85400009,23.62199974,1.071799994,18.52400017,2.282700062,4.880199909,2.308000088,0.023401,0.839590013,0.085065,53.45100021,43.18700027,63.78300095,53.2159996,16.90999985,62.01499939,22.35000038,41.86700058,35.47299957,42.51200104,47.04999924,42.10200119,18.24799919
131,0.171399996,3681,4459.100098,9.426799774,26.73800087,42.59700012,2700.600098,75.06300354,120.3799973,0.352809995,80.40899658,49.45999908,2628.600098,23.60899925,50.74599838,3100.800049,23.03499985,65.73500061,229.6300049,340.3599854,94.3730011,77.68800354,32.01100159,9.018300056,26.37199974,6.850200176,18.91600037,1.678900003,32.71900177,13.85400009,23.62199974,1.071799994,18.52400017,2.282700062,4.880199909,2.308000088,0.023401,0.839590013,0.085065,53.45100021,43.18700027,63.91600037,53.7840004,16.9260006,59.72700119,21.66200066,41.47100067,36.50999832,48.26200104,46.98400116,41.27399826,17.83099937
132,0.256909996,3704.699951,4488.899902,9.310799599,27.08699989,42.44300079,2700.600098,75.25800323,120.4300003,0.340689987,80.32900238,51.70899963,2628.5,23.66900063,48.18399811,3099.800049,22.15399933,65.78500366,230.5800018,339.9200134,94.59500122,77.22499847,32.10499954,9.061100006,26.5529995,6.722400188,19.01399994,1.690199971,33.08000183,13.62800026,23.86599922,1.29400003,18.74699974,2.245699883,4.823500156,2.374500036,0.023401,0.839590013,0.085065,53.45100021,43.18700027,62.81800079,53.68600082,25.3560009,62.70100021,21.93700027,41.21300125,43.13000107,42.33100128,47.08300018,41.07699966,19.95400047
133,0.254709989,3652.300049,4439.100098,9.386400223,26.76799965,42.54499817,2700,74.26499939,120.4100037,0.341769993,80.2519989,50.7519989,2628.5,25.39999962,48.84500122,3097.800049,22.79199982,65.77500153,231.0099945,340.5700073,94.54299927,77.53500366,32.10499954,9.061100006,26.5529995,6.722400188,19.01399994,1.690199971,33.08000183,13.62800026,23.86599922,1.29400003,18.74699974,2.245699883,4.823500156,2.374500036,0.023401,0.839590013,0.085065,53.45100021,43.18700027,63.72000122,54.28300095,25.57299995,62.7879982,21.84000015,41.08100128,40.31200027,43.86100006,47.22999954,40.95999908,18.42700005
134,0.249620005,3716,4475.399902,9.391300201,26.9109993,42.30500031,2700.399902,74.48500061,120.4199982,0.319950014,80.25,49.2840004,2628.699951,26.50499916,50.2820015,3100.399902,23.74099922,65.78099823,228.2100067,340,94.43299866,77.24099731,31.76199913,8.954899788,26.14299965,7.0479002,19.27400017,1.624300003,32.94599915,13.81700039,24.06500053,1.020599961,18.63699913,2.315700054,4.980500221,2.381099939,0.023401,0.839590013,0.085065,53.45100021,43.18700027,63.83399963,53.57500076,24.54999924,62.97299957,21.58099937,37.56700134,35.99200058,47.18600082,47.66500092,42.04199982,16.19400024
135,0.251239985,3698.199951,4514.399902,9.309499741,26.75900078,42.3769989,2701.100098,73.94400024,120.3899994,0.316509992,80.18099976,51.8219986,2629.5,24.85899925,51.30699921,3099,22.77300072,65.76999664,230.1300049,340.5400085,94.41300201,77.19999695,31.76199913,8.954899788,26.14299965,7.0479002,19.27400017,1.624300003,32.94599915,13.81700039,24.06500053,1.020599961,18.63699913,2.315700054,4.980500221,2.381099939,0.016012,0.835609972,0.11191,54.19900131,43.27700043,64.13899994,53.10699844,24.38999939,62.10699844,22.02300072,37.98600006,43.4620018,49.55799866,47.32500076,40.88299942,18.50399971
136,0.28512001,3614.199951,4444.399902,9.369999886,26.9640007,42.25999832,2701.800049,75.08499908,120.3899994,0.332940012,80.31999969,50.42399979,2631.100098,24.48800087,49.65599823,3100.100098,24.13400078,65.77600098,228.8000031,340.5400085,94.53800201,77.44599915,31.86499977,8.886699677,26.29299927,6.837200165,18.84199905,1.683799982,32.81100082,13.83500004,23.93799973,1.376600027,18.44099998,2.301100016,4.883999825,2.290400028,0.016012,0.835609972,0.11191,54.19900131,43.27700043,62.72800064,53.24399948,28.1060009,61.14099884,22.08099937,40.90599823,39.34899902,45.73799896,47.47499847,40.92399979,15.24800014
137,0.287349999,3619,4414.600098,9.430999756,26.85499954,42.18999863,2701.800049,75.36599731,120.3799973,0.334699988,80.20200348,50.13999939,2630,25.79199982,49.07500076,3100.100098,23.09499931,65.79599762,228.1300049,340.5100098,94.71499634,77.08000183,31.86499977,8.886699677,26.29299927,6.837200165,18.84199905,1.683799982,32.81100082,13.83500004,23.93799973,1.376600027,18.44099998,2.301100016,4.883999825,2.290400028,0.016012,0.835609972,0.11191,54.19900131,43.27700043,62.64599991,53.60100174,27.88699913,62.26699829,21.74500084,40.69100189,38.51300049,44.39300156,47.56499863,41.01699829,17.74200058
138,0.273790002,3685.199951,4495.600098,9.418199539,26.40800095,42.40999985,2702.899902,75.94100189,120.4000015,0.341030002,80.08100128,49.05699921,2631.899902,24.79700089,49.61399841,3101,22.93300056,65.72200012,229.5200043,341.4500122,94.57900238,77.44999695,32.6629982,9.028599739,26.45700073,6.899400234,19.13800049,1.634899974,32.68000031,13.76900005,24.2329998,1.168599963,18.33499908,2.277800083,4.832399845,2.242799997,0.016012,0.835609972,0.11191,54.19900131,43.27700043,63.29700089,53.64400101,28.02899933,60.78300095,21.6609993,40.40800095,35.32300186,45.64199829,47.47399902,41.70299911,18.11800003
139,0.279150009,3655.600098,4503.299805,9.525699615,27.06399918,42.54199982,2704.800049,75.5510025,120.3700027,0.341340005,80.09100342,49.73899841,2633.5,24.65800095,50.18500137,3102.5,22.38199997,65.70800018,231.9100037,341.8800049,94.58100128,77.17900085,32.6629982,9.028599739,26.45700073,6.899400234,19.13800049,1.634899974,32.68000031,13.76900005,24.2329998,1.168599963,18.33499908,2.277800083,4.832399845,2.242799997,0.016012,0.835609972,0.11191,54.19900131,43.27700043,63.80699921,53.55199814,27.50200081,60.75600052,22.30900002,40.37099838,37.33300018,46.9620018,47.29600143,40.31000137,19.4489994
140,0.201450005,3654.800049,4474.299805,9.456999779,26.92000008,42.08100128,2707.5,76.0490036,120.4400024,0.336589992,80.38400269,50.60599899,2636.600098,24.17300034,49.47200012,3102.899902,23.15500069,65.74299622,230.7700043,341.9599915,94.49900055,77.89499664,32.30899811,8.809200287,26.6439991,6.840000153,19.34799957,1.641199946,33.15499878,13.76900005,24.09000015,1.19690001,18.41300011,2.247499943,4.930099964,2.290899992,0.0084394,0.844120026,0.095656,53.12799835,43.32300186,63.2879982,53.13899994,19.81699944,61.39799881,22.57799911,39.13999939,39.88299942,45.31299973,47.33100128,41.83100128,17.53899956
141,0.203810006,3657.800049,4439.600098,9.371299744,26.97500038,42.41799927,2704.899902,73.8239975,120.3799973,0.335709989,80.22499847,50.18000031,2634.100098,25.95400047,50.61600113,3102.800049,23.9260006,65.77600098,228.0399933,341.3099976,94.59100342,77.04699707,32.30899811,8.809200287,26.6439991,6.840000153,19.34799957,1.641199946,33.15499878,13.76900005,24.09000015,1.19690001,18.41300011,2.247499943,4.930099964,2.290899992,0.0084394,0.844120026,0.095656,53.12799835,43.32300186,63.23500061,53.55400085,19.58499908,62.35900116,22.37700081,39.24599838,38.63000107,47.95999908,47.56200027,41.02700043,15.76500034
142,0.235119998,3716.5,4422.899902,9.440099716,26.70999908,42.20000076,2704.600098,74.76000214,120.4100037,0.333270013,80.08000183,50.54600143,2634.199951,26.90399933,49.80899811,3101.899902,22.71800041,65.76599884,228.6900024,341.7399902,94.59600067,77.20899963,32.24300003,8.882300377,26.96299934,6.982999802,19.23399925,1.6875,32.92300034,13.78600025,24.12000084,1.493399978,18.71999931,2.2506001,4.779099941,2.263099909,0.0084394,0.844120026,0.095656,53.12799835,43.32300186,62.75799942,53.15999985,22.62199974,61.62799835,22.33600044,39.47000122,39.70800018,46.0909996,47.49300003,42.19300079,18.62800026
143,0.232960001,3698.899902,4412.799805,9.388500214,26.99600029,42.24499893,2703.399902,74.6210022,120.3899994,0.332049996,79.93900299,48.50999832,2631.399902,25.96899986,49.44200134,3101.800049,22.36800003,65.70899963,229.9799957,341.5499878,94.5739975,77.47699738,32.24300003,8.882300377,26.96299934,6.982999802,19.23399925,1.6875,32.92300034,13.78600025,24.12000084,1.493399978,18.71999931,2.2506001,4.779099941,2.263099909,0.0084394,0.844120026,0.095656,53.12799835,43.32300186,63.06200027,53.28099823,22.83399963,61.91899872,22.03300095,39.61899948,33.7159996,45.24300003,47.37099838,40.9090004,19.45100021
144,0.238690004,3686.300049,4444.700195,9.460300446,26.70599937,42.24900055,2707.100098,73.75499725,120.4199982,0.336580008,80.1289978,51.81900024,2636.800049,24.22999954,50.20899963,3101.699951,22.22500038,65.70300293,229.1900024,342.6799927,94.59200287,77.60299683,32.1570015,8.840999603,25.80699921,6.976299763,18.51600075,1.676200032,32.98799896,13.90999985,24.21500015,1.212599993,18.97900009,2.263299942,4.91960001,2.23390007,0.0084394,0.844120026,0.095656,53.12799835,43.32300186,61.99599838,53.0909996,23.34700012,61.04999924,22.69799995,39.45299911,43.45399857,47.01800156,47.43299866,41.39199829,19.78100014
145,0.236210003,3644.300049,4449.200195,9.38049984,27.40200043,41.77799988,2708.800049,74.66899872,120.4100037,0.335189998,80.2440033,49.63600159,2636.800049,25.41399956,49.72000122,3105.300049,23.21199989,65.73000336,230.5500031,342.2000122,94.62400055,77.77700043,32.1570015,8.840999603,25.80699921,6.976299763,18.51600075,1.676200032,32.98799896,13.90999985,24.21500015,1.212599993,18.97900009,2.263299942,4.91960001,2.23390007,0.019127,0.836780012,0.098154001,53.9280014,43.40200043,62.71900177,53.0379982,23.5909996,61.64500046,22.875,39.6230011,37.02999878,45.88600159,47.52700043,40.85400009,17.40800095
146,0.244399995,3616.899902,4541.5,9.390000343,27.01000023,42.30699921,2709.5,74.30699921,120.4100037,0.345360011,80.19300079,49.56000137,2638,24.32099915,51.93799973,3107.100098,22.58699989,65.77799988,230.7899933,342.019989,94.63800049,77.32099915,32.29800034,8.829299927,26.23699951,6.931499958,18.59499931,1.621999979,33.04999924,13.81000042,24.40999985,1.322399974,18.62800026,2.279599905,4.840799809,2.217600107,0.019127,0.836780012,0.098154001,53.9280014,43.40200043,63.1570015,53.6780014,24.40299988,60.72200012,22.41399956,41.74700165,36.80500031,51.02000046,47.59000015,41.1629982,18.91799927
147,0.246539995,3622.300049,4473.5,9.459199905,26.87000084,42.52000046,2711.100098,75.48000336,120.3899994,0.348760009,80.10900116,51.60900116,2640.699951,23.75200081,49.31800079,3107.5,23.60400009,65.75700378,230.8699951,342.4599915,94.64099884,77.73400116,32.29800034,8.829299927,26.23699951,6.931499958,18.59499931,1.621999979,33.04999924,13.81000042,24.40999985,1.322399974,18.62800026,2.279599905,4.840799809,2.217600107,0.019127,0.836780012,0.098154001,53.9280014,43.40200043,63.06299973,54.49300003,24.19199944,59.6590004,22.65699959,41.33100128,42.83399963,44.95500183,47.66999817,40.63100052,16.47500038
148,0.233160004,3667.899902,4523.299805,9.399999619,26.99900055,42.27000046,2714.100098,74.52500153,120.4199982,0.336279988,80.14700317,48.89300156,2642.800049,24.67200089,49.79899979,3109.699951,22.31299973,65.77300262,231.4400024,342.8800049,94.63800049,77.62999725,32.38299942,8.94299984,26.61599922,6.768499851,18.55999947,1.621899962,32.84899902,13.7869997,24.25,1.29489994,18.61599922,2.285099983,4.895199776,2.236099958,0.019127,0.836780012,0.098154001,53.9280014,43.40200043,62.60300064,53.73799896,22.74300003,61.16899872,22.61700058,40.2140007,34.8429985,46.06900024,47.70700073,41.65800095,19.5359993
149,0.230609998,3636.899902,4508.200195,9.443900108,26.77799988,41.94400024,2714,74.51200104,120.3899994,0.337940007,80.01699829,49.1590004,2643.199951,24.27599907,50.95899963,3110.399902,22.64900017,65.74099731,230.1699982,343.1300049,94.58899689,77.47599792,32.38299942,8.94299984,26.61599922,6.768499851,18.55999947,1.621899962,32.84899902,13.7869997,24.25,1.29489994,18.61599922,2.285099983,4.895199776,2.236099958,0.019127,0.836780012,0.098154001,53.9280014,43.40200043,63.13800049,53.91899872,22.99300003,61.29399872,22.89900017,40.01200104,35.625,48.75299835,47.9070015,41.09000015,18.75
150,0.223110005,3716.399902,4514.399902,9.550999641,26.96899986,42.36000061,2717.899902,74.33899689,120.4000015,0.336959988,80.2539978,49.35200119,2647.899902,23.82799911,48.0340004,3112.800049,22.29500008,65.75700378,229.9199982,343.1000061,94.40399933,77.8789978,32.25099945,8.70470047,26.76399994,6.771800041,18.84600067,1.702900052,33.17599869,13.89999962,23.94000053,1.078199983,18.24699974,2.272700071,4.878900051,2.342400074,0.036304999,0.835039973,0.099175997,53.99499893,44.00600052,63.22999954,53.96500015,21.80800056,62.02299881,23.00900078,39.47999954,36.19400024,41.98400116,47.8370018,41.14599991,19.54199982
151,0.222010002,3737.5,4502.600098,9.408599854,26.6760006,42.42900085,2717.600098,74.56199646,120.4000015,0.334919989,80.13400269,48.57099915,2647.100098,26.04899979,49.92300034,3113.699951,22.38199997,65.79000092,230.4900055,343.1400146,94.42199707,77.15200043,32.25099945,8.70470047,26.76399994,6.771800041,18.84600067,1.702900052,33.17599869,13.89999962,23.94000053,1.078199983,18.24699974,2.272700071,4.878900051,2.342400074,0.036304999,0.835039973,0.099175997,53.99499893,44.00600052,62.86700058,54.10699844,21.91699982,61.55099869,22.58399963,39.72999954,33.89400101,46.35499954,47.79399872,41.29499817,19.38299942
152,0.231749997,3690.5,4463.899902,9.485699654,26.81399918,42.23400116,2714.699951,75.34400177,120.4199982,0.346839994,79.83399963,48.84999847,2643.199951,23.15299988,50.56499863,3111.100098,21.81900024,65.70600128,230.6699982,343.4500122,94.44300079,77.02300262,32.10900116,9.00549984,26.26199913,6.802000046,18.86800003,1.639999986,33.04600143,13.68500042,24.17200089,1.585199952,18.42300034,2.245399952,4.829699993,2.253200054,0.036304999,0.835039973,0.099175997,53.99499893,44.00600052,63.7519989,53.88100052,23.19799995,62.3409996,22.43600082,41.32600021,34.71699905,47.84199905,47.79000092,41.95600128,20.74300003
153,0.233860001,3666.600098,4439.299805,9.404800415,26.75600052,42.37200165,2714.100098,75.06400299,120.3700027,0.34731999,79.82800293,51.32699966,2643.300049,25.28300095,50.95199966,3109.399902,23.15500069,65.64600372,233.0700073,343.4599915,94.37200165,77.35900116,32.10900116,9.00549984,26.26199913,6.802000046,18.86800003,1.639999986,33.04600143,13.68500042,24.17200089,1.585199952,18.42300034,2.245399952,4.829699993,2.253200054,0.036304999,0.835039973,0.099175997,53.99499893,44.00600052,64.16300201,54.17499924,22.99099922,63.17499924,22.77799988,41.26599884,42.00500107,48.73699951,47.5909996,40.84000015,17.56599998
154,0.247840002,3642.600098,4496.299805,9.485199928,26.72800064,42.15299988,2716.300049,74.94000244,120.4199982,0.328420013,79.94599915,50.78300095,2644.800049,24.96199989,49.7859993,3112,22.97100067,65.64399719,230.4400024,343.0899963,94.55999756,77.26200104,31.97500038,8.941200256,26.37000084,6.823800087,18.34300041,1.632400036,33.24700165,13.9090004,24.18600082,1.249300003,18.13800049,2.225699902,4.837999821,2.32249999,0.036304999,0.835039973,0.099175997,53.99499893,44.00600052,64.40000153,53.42499924,24.32799911,61.10599899,22.49699974,37.77099991,40.40599823,46.03900146,47.84000015,41.95399857,18.00099945
155,0.247380003,3673.800049,4455.200195,9.378899574,26.9470005,42.29000092,2716.5,74.71399689,120.4000015,0.323000014,79.96700287,50.48099899,2646.199951,25.13899994,48.85499954,3112,23.38800049,65.66400146,229.7400055,343.519989,94.28500366,77.46299744,31.97500038,8.941200256,26.37000084,6.823800087,18.34300041,1.632400036,33.24700165,13.9090004,24.18600082,1.249300003,18.13800049,2.225699902,4.837999821,2.32249999,0.036713999,0.839540005,0.115110002,53.79700089,42.97399902,63.86500168,53.91799927,24.37299919,62.48699951,22.90500069,38.43199921,39.51399994,43.88399887,47.86899948,41.22900009,16.99500084
156,0.261249989,3690,4531,9.250800133,26.89900017,42.52500153,2716.899902,75.43599701,120.4100037,0.34878999,79.9509964,52.15000153,2646.399902,25.08099937,50.95700073,3112.800049,21.1060009,65.66400146,229.25,343.2200012,94.51799774,77.07499695,32.57899857,8.946900368,26.94599915,6.901199818,19.06699944,1.688799977,33.10599899,13.92599964,24.1060009,1.255499959,18.29500008,2.270299911,4.701499939,2.313699961,0.036713999,0.839540005,0.115110002,53.79700089,42.97399902,63.45899963,54.32699966,25.86800003,62.5,22.77400017,41.26399994,44.4280014,48.7480011,47.90599823,41.92599869,22.44000053
157,0.264149994,3698.399902,4553.799805,9.384200096,27.28300095,42.07400131,2714.5,75.17900085,120.3899994,0.349220008,79.66899872,50.2480011,2644,24.86000061,51.79499817,3112.100098,23.21500015,65.65499878,231.8300018,343.5899963,94.36000061,77.15200043,32.57899857,8.946900368,26.94599915,6.901199818,19.06699944,1.688799977,33.10599899,13.92599964,24.1060009,1.255499959,18.29500008,2.270299911,4.701499939,2.313699961,0.036713999,0.839540005,0.115110002,53.79700089,42.97399902,63.31399918,54.05400085,25.58300018,61.74599838,22.78300095,41.21099854,38.83000183,50.68899918,47.66999817,41.0719986,17.4470005
158,0.204769999,3682.399902,4443.100098,9.361399651,26.68600082,42.05500031,2714.899902,75.68800354,120.4100037,0.352560014,79.78099823,50.87799835,2644.300049,25.52099991,51.01399994,3109.100098,23.54800034,65.61299896,231.6699982,343.8299866,94.59100342,77.20300293,32.20000076,8.920499802,26.75499916,6.833300114,18.31100082,1.672399998,33.625,13.74199963,24.43099976,1.183899999,17.57299995,2.217700005,4.803500175,2.319700003,0.036713999,0.839540005,0.115110002,53.79700089,42.97399902,62.93000031,53.61199951,19.75399971,62.5909996,22.97100067,41.38899994,40.68299866,48.88000107,47.68299866,41.57600021,16.6609993
159,0.201969996,3649.600098,4435.299805,9.449500084,27.04199982,42.38499832,2714.899902,74.51899719,120.3600006,0.352109998,79.88200378,50.04100037,2644.300049,25.60000038,50.31600189,3108.899902,22.7859993,65.61399841,233.1900024,343.8099976,94.48699951,77.48999786,32.20000076,8.920499802,26.75499916,6.833300114,18.31100082,1.672399998,33.625,13.74199963,24.43099976,1.183899999,17.57299995,2.217700005,4.803500175,2.319700003,0.036713999,0.839540005,0.115110002,53.79700089,42.97399902,63.49399948,53.70600128,20.02899933,62.72299957,23.14800072,41.44300079,38.22200012,47.26599884,47.54199982,40.63700104,18.44199944
160,0.238069996,3695.399902,4588.100098,9.463100433,26.93700027,42.10200119,2717,75.02899933,120.4400024,0.32991001,79.94599915,50.18700027,2646.100098,25.47900009,49.51499939,3112.399902,22.53300095,65.64199829,232.8600006,343.3999939,94.53800201,77.29799652,32.45999908,8.637499809,26.4090004,6.983099937,18.1079998,1.621500015,33.18799973,13.71700001,24.38899994,1.086799979,18.01399994,2.242899895,4.785099983,2.263000011,0.023979001,0.835210025,0.096068002,53.79399872,44.1570015,63.31499863,53.7480011,23.27099991,62.88199997,22.9260006,39.24599838,38.65100098,45.4109993,47.68299866,42.25799942,19.0529995
161,0.236359999,3684.399902,4553.100098,9.461099625,27.25799942,42.30599976,2719.300049,74.81099701,120.4100037,0.332780004,80.05200195,49.37599945,2648.5,25.62700081,49.60300064,3114.5,23.42099953,65.66999817,232.2899933,343.269989,94.41000366,77.55500031,32.45999908,8.637499809,26.4090004,6.983099937,18.1079998,1.621500015,33.18799973,13.71700001,24.38899994,1.086799979,18.01399994,2.242899895,4.785099983,2.263000011,0.023979001,0.835210025,0.096068002,53.79399872,44.1570015,63.50400162,54.16699982,23.43899918,59.08399963,23.22900009,38.89599991,36.26399994,45.61399841,47.77700043,41.40999985,16.91300011
162,0.209590003,3610.699951,4556.799805,9.430199623,26.80900002,42.41199875,2719.199951,74.9260025,120.3799973,0.329679996,80.01200104,51.42599869,2648.399902,24.59399986,50.52199936,3114.199951,22.83699989,65.70400238,231.1000061,343.4200134,94.55799866,77.01599884,32.58100128,8.73429966,26.69300079,6.871600151,18.33300018,1.630599976,33.20299911,13.84200001,24.26300049,1.212900043,18.51399994,2.284800053,4.894299984,2.296299934,0.023979001,0.835210025,0.096068002,53.79399872,44.1570015,63.43500137,54.7159996,20.82999992,60.36700058,23.03300095,38.45700073,42.29600143,47.74300003,47.92399979,40.61000061,18.33099937
163,0.210859999,3641.199951,4576.200195,9.510499954,26.88299942,42.49100113,2717.399902,75.35900116,120.4000015,0.325300008,79.72699738,49.72200012,2646.5,25.64999962,50.20700073,3112.100098,23.33600044,65.70400238,233.8800049,343.519989,94.5739975,77.26399994,32.58100128,8.73429966,26.69300079,6.871600151,18.33300018,1.630599976,33.20299911,13.84200001,24.26300049,1.212900043,18.51399994,2.284800053,4.894299984,2.296299934,0.023979001,0.835210025,0.096068002,53.79399872,44.1570015,62.9090004,54.48400116,20.70499992,61.29499817,22.9109993,38.99100113,37.28300095,47.01200104,47.72100067,40.63999939,17.15099907
164,0.195250005,3679.899902,4561.100098,9.451299667,26.62700081,42.45399857,2717.800049,73.96800232,120.3799973,0.344319999,79.77300262,50.0890007,2647.699951,24.63199997,50.39699936,3112.100098,22.66300011,65.65299988,232.2100067,343.3299866,94.59100342,77.10399628,32.09600067,8.895299911,26.57299995,6.890100002,18.68600082,1.659600019,33.42200089,13.87699986,24.25399971,1.164100051,18.11899948,2.284699917,4.795499802,2.283699989,0.023979001,0.835210025,0.096068002,53.79399872,44.1570015,63.1780014,54.20700073,19.26199913,62.02199936,22.80400085,39.97299957,38.36299896,47.45299911,47.91500092,40.29299927,18.7670002
165,0.195529997,3697.899902,4568.200195,9.295700073,27.13500023,42.4109993,2717.600098,75.72599792,120.4000015,0.34314999,79.71099854,50.18799973,2646.399902,25.36199951,49.23600006,3112.800049,23.09499931,65.625,232.0500031,342.980011,94.52600098,77.13800049,32.09600067,8.895299911,26.57299995,6.890100002,18.68600082,1.659600019,33.42200089,13.87699986,24.25399971,1.164100051,18.11899948,2.284699917,4.795499802,2.283699989,0.027193001,0.814419985,0.099767998,54.61899948,43.10800171,62.86899948,54.12099838,19.23399925,62.38999939,22.79199982,40.11600113,38.65200043,44.76599884,47.86999893,41.14300156,17.74500084
166,0.239289999,3681.399902,4458.600098,9.406599998,26.92200089,42.68299866,2717.5,74.60299683,120.4000015,0.346599996,79.77700043,50.89799881,2646.399902,24.85099983,52.01699829,3113.5,22.66799927,65.64199829,231.5700073,342.7000122,94.58899689,77.36399841,31.82699966,8.573200226,26.50499916,6.759799957,18.49799919,1.621199965,33.18500137,13.70400047,24.86899948,1.288699985,18.4279995,2.251899958,4.741799831,2.274499893,0.027193001,0.814419985,0.099767998,54.61899948,43.10800171,62.99100113,54.61299896,23.85499954,60.42300034,22.75499916,40.66600037,40.74300003,51.20199966,47.9129982,41.0379982,18.74399948
